stage,step,action,reward,state,state_name,exploration,delta,delta_bb,delta_time,best_state
1,398,1,0.000111,3,,,-0.000257,-0.00031,-0.000204,3
1,400,1,0.000106,3,,,-0.000247,-0.000281,-0.000213,3
1,402,1,0.0,2,,,2.3e-05,6e-06,4.1e-05,2
1,404,1,2.9e-05,3,,,-6.5e-05,-8.4e-05,-4.6e-05,3
1,406,1,0.000164,3,,,-0.000378,-0.000454,-0.000303,3
1,408,1,5.5e-05,3,,,-0.000128,-0.000152,-0.000104,3
1,410,1,3.9e-05,3,,,-8.3e-05,-0.000139,-2.7e-05,3
1,412,1,8e-06,2,,,-1.9e-05,-2.3e-05,-1.6e-05,2
1,414,3,0.000112,2,,,-0.000182,-0.000203,-0.00016,2
1,416,3,0.00011,3,,,-0.000174,-0.000224,-0.000123,3
1,418,1,1.5e-05,2,,,-3.3e-05,-4.1e-05,-2.5e-05,2
1,420,3,2.2e-05,3,,,-3.5e-05,-4.2e-05,-2.8e-05,3
1,422,3,0.0,2,,,1.4e-05,1.3e-05,1.5e-05,2
1,424,3,0.0,2,,,3e-06,4e-06,3e-06,2
1,426,1,0.000327,3,,,-0.000795,-0.000751,-0.000838,3
1,428,1,1.1e-05,3,,,-2.4e-05,-4e-05,-7e-06,3
1,430,3,0.000218,3,,,-0.000379,-0.0003,-0.000458,3
1,432,3,8.5e-05,3,,,-0.000135,-0.000171,-9.9e-05,3
1,434,1,4.3e-05,3,,,-9.8e-05,-0.000128,-6.9e-05,3
1,436,1,3e-06,2,,,-9e-06,-4e-06,-1.3e-05,2
1,438,1,0.0,2,,,1e-06,3e-06,-0.0,2
1,440,1,2.8e-05,3,,,-7.1e-05,-4.7e-05,-9.5e-05,3
1,442,1,0.000343,3,,,-0.000834,-0.000778,-0.00089,3
1,444,1,3.5e-05,3,,,-7.6e-05,-0.000119,-3.3e-05,3
1,446,1,0.000265,3,,,-0.000655,-0.000567,-0.000742,3
1,448,1,-7e-06,2,,,-2e-06,9.5e-05,-9.9e-05,2
1,450,1,6e-06,2,,,-1.5e-05,-9e-06,-2.1e-05,2
1,452,0,0.0,0,,,5.7e-05,7.3e-05,4.1e-05,1
1,454,1,0.0,0,,,5e-06,-0.0,1.1e-05,1
1,456,3,4e-06,0,,,-4e-06,-2e-05,1.3e-05,0
1,458,1,6e-06,0,,,-1.5e-05,-1.3e-05,-1.6e-05,0
1,460,1,0.0,0,,,5e-06,-1.7e-05,2.7e-05,0
1,462,2,3e-06,0,,,-1.1e-05,-9e-06,-1.4e-05,0
1,464,0,0.0,0,,,4e-05,6.4e-05,1.6e-05,0
1,466,3,0.0,0,,,8e-06,8e-06,8e-06,0
1,468,3,0.000153,1,,,-0.000257,-0.000251,-0.000262,1
